CRN,Subject,Title,Hours,Instructor,Days,Start Time,End Time,Location,Seats Available
12319,HDFS 4131 AI,Teaching Preschool,0,"Staff, Unknown",R,10:00 AM,12:00 PM,T,
12323,HDFS 4131 AM,Teaching Preschool,0,"Staff, Unknown",W,3:00 PM,5:00 PM,T,
12295,HDFS 2136 A,Intro to Human/Fam Services,3,"Czech, Melinda",TR,9:30 AM,10:45 AM,T,
12311,HDFS 4131 AA,Teaching Preschool,0,"Staff, Unknown",M,8:00 AM,10:00 AM,T,
12315,HDFS 4131 AE,Teaching Preschool,0,"Staff, Unknown",F,8:00 AM,10:00 AM,T,
12332,HDFS 3135 A,Youth Development,3,"Watson, Darrien",MWF,10:10 AM,11:00 AM,T,
10475,HIST 1111 01,World Hist.I:Dev. of World Civ,3,"Teeter, Timothy",TR,9:30 AM,10:45 AM,T,
10452,HIST 2630 01,Historical Methods,3,"Skidmore-Hess, Cathy",TR,9:30 AM,10:45 AM,T,
10014,HIST 1112 01,Wrld Hist II-Emerg Mod Glb Com,3,"Akturk, Ahmet",MW,12:20 PM,1:35 PM,T,
10034,HIST 3532 01,The Modern Middle East,3,"Akturk, Ahmet",MW,10:10 AM,11:25 AM,T,
10065,HIST 4130 01,Georgia History,3,"Denmark, Lisa",TR,3:30 PM,4:45 PM,T,
10047,HIST 1112 06,Wrld Hist II-Emerg Mod Glb Com,3,"Comerford, Kathleen",TR,11:00 AM,12:15 PM,T,
10073,HIST 7638 01,Research Prospectus,3,"Herringer, Carol",M,6:00 PM,8:45 PM,T,
10022,HIST 1112 03,Wrld Hist II-Emerg Mod Glb Com,3,"Faris, Melissa",TR,3:30 PM,4:45 PM,T,
10464,HIST 2110 07,US A Comprehensive Survey,3,"Smith, Solomon",TR,9:30 AM,10:45 AM,T,
10458,HIST 2110 06,US A Comprehensive Survey,3,"Lin, Mao",TR,12:30 PM,1:45 PM,T,
10030,HIST 1112 05,Wrld Hist II-Emerg Mod Glb Com,3,"Peng, Juanjuan",MW,10:10 AM,11:35 AM,T,
10049,HIST 1112 07,Wrld Hist II-Emerg Mod Glb Com,3,"Comerford, Kathleen",TR,2:00 PM,3:15 PM,T,
